Index	CorrectMemoryResponse	ItemNumber	List	ItemType	Ambiguity	MemoryLoad	Condition	Region_1RT.rt	Region_2RT.rt	Region_3RT.rt	Region_4RT.rt	TotalRT	ComprehensionRT.keys	ReferentChoice	ComprehensionRT.rt	Memory_ComprehensionRT.keys	Memory_ComprehensionRT.corr	Memory_ComprehensionRT.rt	Region_5RT.rt	Region_6RT.rt	Region_7RT.rt	expName	session	participant	WMC
5	p	5	1	Exp	No	High	NoHigh	1.15219903	0.418671846	0.352313042	0.602264166	5.615000725	1	Sub	1.518861055	p	1	4.368811846	0.518700838	1.902227879	0.668623924	List1	1	P195	60
46	q	46	1	Filler	NA	NA	MismatchMFLow	0.76880908	0.435271025	0.418596983	0.518548965	3.346946	2	Obj	1.734527826	q	1	5.285953999	0.435353994	0.368680954	0.401684999	List1	1	P195	60
4	p	4	1	Exp	Amb	High	AmbHigh	1.30223012	0.485708952	0.435366154	0.418793917	4.448505164	1	Sub	3.118127823	q	0	8.469119072	0.402028084	0.518885851	0.885492086	List1	1	P195	60
39	space	39	1	Filler	NA	NA	MatchFFLow	0.851994991	0.368627071	0.385509968	0.585508108	3.281286239	2	Obj	1.80219698	space	1	0.868891954	0.402076006	0.35196805	0.335602045	List1	1	P195	60
30	q	30	1	Exp	One	High	OneHigh	0.902293921	0.902161837	1.252172947	0.500351906	4.897247793	1	Sub	2.019083023	q	1	3.052219868	0.602251053	0.385740042	0.352276087	List1	1	P195	60
56	space	56	1	Filler	NA	NA	MismatchFM	1.302253008	0.418805838	0.335584879	1.085446119	4.265074969	2	Obj	1.535486937	space	1	0.785554886	0.385429144	0.385535002	0.352020979	List1	1	P195	60
63	space	63	1	Filler	NA	NA	NeutralMN	1.368731976	0.402129889	0.368731976	0.468924046	3.797873975	1	Sub	1.434072018	space	1	0.852138042	0.385319948	0.38529706	0.41873908	List1	1	P195	60
13	space	13	1	Exp	Amb	Low	AmbLow	0.752282858	0.885421991	0.468992949	0.635413885	4.196968556	1	Sub	1.567035913	space	1	1.152095079	0.485749006	0.366990805	0.602117062	List1	1	P195	60
44	space	44	1	Filler	NA	NA	MatchFF	0.635243177	0.418664932	0.433666945	0.41877079	3.529504775	2	Obj	1.568702936	space	1	0.735506058	0.40209794	0.385718107	0.835342884	List1	1	P195	60
6	q	6	1	Exp	One	High	OneHigh	0.618725061	0.452039003	0.368629932	0.368838072	3.131233929	2	Obj	1.568922043	q	1	4.33566618	0.418733835	0.485305071	0.418962955	List1	1	P195	60
31	space	31	1	Filler	NA	NA	MatchMMLow	0.735331059	0.385426044	0.335520029	0.41859889	3.081247091	1	Sub	1.384392977	space	1	0.700371981	0.43543005	0.352122068	0.418818951	List1	1	P195	60
2	space	2	1	Exp	No	Low	NoLow	0.318928957	0.802292824	0.385486841	0.385673046	3.915333509	2	Obj	3.068771839	space	1	0.652234077	0.335518122	0.368867874	1.318565845	List1	1	P195	60
62	space	62	1	Filler	NA	NA	NeutralMN	0.835397959	0.418823957	0.435400009	0.401926994	3.329541921	2	Obj	1.285420895	space	1	0.483592987	0.40224719	0.435424805	0.400321007	List1	1	P195	60
27	space	27	1	Exp	One	Low	OneLow	0.352390051	0.368716955	0.36905694	0.402054071	3.515004872	2	Obj	1.384394884	space	1	0.53552103	0.402040958	0.468679905	1.152065992	List1	1	P195	60
57	space	57	1	Filler	NA	NA	MismatchFM	0.335344791	0.435378075	0.385277033	0.402013063	2.897875785	1	Sub	1.401416063	space	1	0.502187014	0.402089834	0.402406931	0.535366058	List1	1	P195	60
20	space	20	1	Exp	No	Low	NoLow	0.603657961	0.335410833	0.385391951	0.418650866	3.382599593	2	Obj	1.684223175	space	1	0.519007921	0.418560028	0.435368061	0.785559893	List1	1	P195	60
41	q	41	1	Filler	NA	NA	MatchFF	0.60225296	0.351843119	0.35196805	0.36856389	2.978987216	1	Sub	1.018639803	p	0	5.868834019	0.402276039	0.485164165	0.416918993	List1	1	P195	60
18	p	18	1	Exp	One	High	OneHigh	0.852225065	0.352151155	0.385348082	0.418776989	3.531210422	1	Sub	1.269066095	p	1	2.054816008	0.385372162	0.368613958	0.768723011	List1	1	P195	60
67	space	67	1	Filler	NA	NA	NeutralFNLow	0.500450134	0.435475111	0.352241039	0.385558128	2.828233242	1	Sub	1.75208497	space	1	0.518994808	0.418750048	0.368677855	0.367080927	List1	1	P195	60
15	space	15	1	Exp	One	Low	OneLow	0.535497189	0.402066946	0.402132988	0.418915033	3.048604965	2	Obj	2.634198904	space	1	0.468932152	0.43558383	0.418998003	0.435410976	List1	1	P195	60
50	space	50	1	Filler	NA	NA	MismatchMF	0.352000952	0.435344934	0.435676813	0.552146912	3.114877701	2	Obj	1.351381063	space	1	0.53548193	0.468641996	0.485594988	0.385471106	List1	1	P195	60
19	space	19	1	Exp	Amb	Low	AmbLow	0.518486977	0.402029037	0.401997089	0.368908882	3.748008012	2	Obj	2.067970991	space	1	0.46903801	0.435381889	0.435566187	1.185637951	List1	1	P195	60
59	q	59	1	Filler	NA	NA	NeutralMN	0.735360146	0.785509825	0.652207136	0.568806887	4.364515782	1	Sub	1.702253103	q	1	3.135344982	0.435375929	0.418496847	0.768759012	List1	1	P195	60
26	space	26	1	Exp	No	Low	NoLow	1.402152061	0.351907015	0.402225018	0.502221823	4.231503964	1	Sub	2.552228928	space	1	0.552118063	0.43543005	0.518750906	0.618817091	List1	1	P195	60
68	space	68	1	Filler	NA	NA	NeutralFNLow	0.38558507	0.43543601	0.368956089	0.352470875	2.8153162	2	Obj	1.50167203	space	1	0.418926954	0.368823051	0.38548398	0.518561125	List1	1	P195	60
25	space	25	1	Exp	Amb	Low	AmbLow	0.335469007	0.385365963	0.385262966	0.385384083	2.84785819	2	Obj	1.817890882	space	1	0.568663836	0.435329199	0.452344894	0.468702078	List1	1	P195	60
37	q	60	1	Filler	NA	NA	NeutralMN	3.818819046	0.435437918	0.418751001	0.452193022	6.448357105	1	Obj	2.132189989	q	1	8.302163124	0.402114153	0.468662977	0.452378988	List1	1	P195	60
38	p	29	1	Exp	No	High	NoHigh	3.135649204	0.435381889	0.352304935	0.40197897	5.97972989	1	Obj	1.802332878	p	1	4.33554697	0.685367823	0.385380983	0.583666086	List1	1	P195	60
39	q	36	1	Filler	NA	NA	MatchMM	1.385542154	0.368645906	0.35196805	0.385329962	3.947980165	2	Sub	1.38449502	q	1	7.118934155	0.385431051	0.368799925	0.702263117	List1	1	P195	60
40	space	1	1	Exp	Amb	Low	AmbLow	0.785443068	0.418714046	0.368909121	0.352411032	3.181882144	1	Obj	6.168251038	space	1	0.668761015	0.401927948	0.352376938	0.502099991	List1	1	P195	60
41	space	61	1	Filler	NA	NA	NeutralMN	0.702234983	0.368748903	0.352108002	0.318840027	3.698347091	2	Sub	1.816550016	space	1	0.618659019	0.368707895	0.368944168	1.218763113	List1	1	P195	60
42	q	22	1	Exp	Amb	High	AmbHigh	1.418910027	0.41892004	0.335335016	0.368697882	4.081230879	1	Obj	13.06869602	p	0	10.76733613	0.418612003	0.385426998	0.735328913	List1	1	P195	60
43	q	34	1	Filler	NA	NA	MatchMM	1.05221796	0.402178049	0.518949032	0.668597937	4.348670006	2	Sub	1.352318048	q	1	7.350454092	0.552360058	0.41870594	0.73566103	List1	1	P195	60
44	p	12	1	Exp	One	High	OneHigh	0.685350895	0.435333967	0.335528851	0.45211792	4.746428728	1	Obj	3.200455904	p	1	2.852131844	0.36877203	0.433619022	2.035706043	List1	1	P195	60
45	space	49	1	Filler	NA	NA	MismatchMF	1.385503054	0.452071905	0.401973009	0.58536911	4.460691928	2	Sub	1.551932812	space	1	0.48558116	0.467071056	0.418423891	0.750279903	List1	1	P195	60
46	space	37	1	Filler	NA	NA	MatchMM	0.469000816	0.368722916	0.368590117	0.335361958	3.264662505	1	Obj	1.400739908	space	1	0.485688925	0.568767786	0.38547492	0.768743992	List1	1	P195	60
47	space	38	1	Filler	NA	NA	MatchFFLow	0.435386896	0.335417032	0.336570024	0.43535614	2.932097196	2	Sub	1.134189844	space	1	0.468708038	0.435517073	0.418565989	0.535284042	List1	1	P195	60
48	p	64	1	Filler	NA	NA	NeutralMN	0.819037199	0.385347128	0.333841085	0.352190971	2.929980278	1	Obj	1.334275961	p	1	3.983717203	0.31882	0.318828106	0.401915789	List1	1	P195	60
49	space	69	1	Filler	NA	NA	NeutralFN	0.502089024	0.368805885	0.402040958	0.368767977	2.797921657	2	Sub	1.335453987	space	1	0.435683012	0.35208106	0.351898909	0.452237844	List1	1	P195	60
50	q	47	1	Filler	NA	NA	MismatchMFLow	0.702156067	0.319087982	0.333705187	0.385249138	2.780600309	2	Sub	1.250108957	q	1	5.435691834	0.302550077	0.302346945	0.435504913	List1	1	P195	60
51	space	51	1	Filler	NA	NA	MismatchMF	0.683686018	0.30190897	0.302063942	0.28522706	2.795610189	2	Sub	1.583630085	space	1	0.46883893	0.418549061	0.368736982	0.435438156	List1	1	P195	60
52	q	70	1	Filler	NA	NA	NeutralFN	1.11895895	0.301977158	0.302226782	0.418977022	3.231937647	1	Obj	0.867281914	q	1	7.085805893	0.335358858	0.352133989	0.402304888	List1	1	P195	60
53	space	9	1	Exp	One	Low	OneLow	0.435503006	0.285665989	0.352087975	0.585459948	3.248492958	2	Sub	1.551548004	space	1	0.41896081	0.36879921	0.352012873	0.868963957	List1	1	P195	60
54	space	32	1	Filler	NA	NA	MatchMMLow	0.385534763	0.33541894	0.31873703	0.550216913	2.729465723	3	None	4.368800879	space	1	0.501976013	0.401973963	0.318825006	0.418759108	List1	1	P195	60
55	space	8	1	Exp	No	Low	NoLow	0.485630035	0.418915987	0.319056034	0.368708134	3.132062196	1	Obj	3.451289892	space	1	0.602324009	0.368979931	0.335401058	0.835371017	List1	1	P195	60
56	p	40	1	Filler	NA	NA	MatchFFLow	0.835537195	0.302268982	0.302059889	0.369724989	2.882579088	1	Obj	1.514872789	q	0	5.702234983	0.318500042	0.318921089	0.435566902	List1	1	P195	60
57	p	24	1	Exp	One	High	OneHigh	0.952073097	0.285555124	0.385402918	0.318826914	5.962777137	2	Sub	7.135631084	p	1	2.135740995	0.368629932	0.402024031	3.250265121	List1	1	P195	60
58	p	16	1	Exp	Amb	High	AmbHigh	0.618802071	0.268944025	0.318855047	0.335328817	5.74860096	1	Obj	1.951622963	p	1	4.685844898	0.368847132	0.402215958	3.43560791	List1	1	P195	60
59	p	66	1	Filler	NA	NA	NeutralFNLow	0.518808842	0.318958044	0.268746853	0.402046204	2.981398821	1	Obj	1.085259914	q	0	5.183656931	0.335372925	0.36856389	0.768902063	List1	1	P195	60
60	space	7	1	Exp	Amb	Low	AmbLow	0.335417986	0.25215888	0.285491943	0.302039146	2.747631788	2	Sub	2.517405033	space	1	0.702057123	0.285267115	0.318576813	0.968679905	List1	1	P195	60
61	p	72	1	Filler	NA	NA	NeutralFN	0.46897912	0.318786144	0.252398968	0.252189875	2.199356317	1	Obj	1.182266951	p	1	4.235547066	0.302314043	0.318691015	0.285997152	List1	1	P195	60
62	q	10	1	Exp	Amb	High	AmbHigh	0.452370167	0.28550601	0.252213001	0.252501965	2.532478333	1	Obj	1.167376041	q	1	3.616967916	0.468726158	0.335592985	0.485568047	List1	1	P195	60
63	q	65	1	Filler	NA	NA	NeutralMN	1.135524035	0.352205992	0.268882036	0.318608999	3.014966011	2	Sub	0.952118158	p	0	2.91893816	0.302247047	0.302068949	0.335428953	List1	1	P195	60
64	q	23	1	Exp	No	High	NoHigh	0.402121067	0.319111824	0.285527945	0.335575104	2.465433121	2	Sub	1.783174038	q	1	1.968825102	0.335514069	0.352040052	0.43554306	List1	1	P195	60
65	space	33	1	Filler	NA	NA	MatchMMLow	0.818759203	0.402029991	0.285739183	0.302175999	3.36455059	1	Obj	1.051630974	space	1	0.435566902	0.384910107	0.435312986	0.735623121	List1	1	P195	60
66	space	43	1	Filler	NA	NA	MatchFF	0.552101135	0.269065142	0.31861496	0.268789053	2.448912144	2	Sub	1.247894049	space	1	0.568976164	0.402704	0.302111864	0.33552599	List1	1	P195	60
67	q	28	1	Exp	Amb	High	AmbHigh	0.668837786	0.301988125	0.318876028	0.302155018	2.781708241	1	Obj	2.852244139	q	1	6.702433109	0.368817091	0.368803024	0.452231169	List1	1	P195	60
68	p	71	1	Filler	NA	NA	NeutralFN	0.502204895	0.285522223	0.268707037	0.285604	2.365146161	2	Sub	1.383910894	p	1	2.135629892	0.318778992	0.352219105	0.352109909	List1	1	P195	60
69	space	45	1	Filler	NA	NA	MismatchMFLow	0.650264025	0.23557806	0.285625935	0.218688011	2.313203097	2	Sub	1.202043056	space	1	0.452260971	0.335355997	0.268738985	0.318952084	List1	1	P195	60
70	space	14	1	Exp	No	Low	NoLow	0.335592031	0.268764973	0.235626936	0.285471201	2.765017033	1	Obj	3.482809067	space	1	0.73569417	0.318861008	0.368762016	0.951938868	List1	1	P195	60
71	p	58	1	Filler	NA	NA	MismatchFM	0.535296917	0.252230167	0.218830109	0.268713951	2.131648302	1	Obj	1.701876879	p	1	8.585471869	0.302267075	0.268676996	0.285633087	List1	1	P195	60
72	space	55	1	Filler	NA	NA	MismatchFM	0.38541007	0.268826962	0.235557079	0.202118874	1.864822149	2	Sub	1.152297974	space	1	0.518611908	0.235481977	0.235396147	0.30203104	List1	1	P195	60
52	q	52	1	Filler	NA	NA	MismatchFMLow	0.985601187	0.63364315	0.652652979	0.768913031	5.013262748	2	Obj	2.802030087	p	0	2.869029045	0.652104139	0.667556047	0.652792215	List1	1	P552	50
35	p	35	1	Filler	NA	NA	MatchMM	0.919003963	0.569256067	0.652206898	0.685972929	4.883120774	2	Obj	3.252527952	p	1	3.218972921	0.668954849	0.635488033	0.752238035	List1	1	P552	50
11	p	11	1	Exp	No	High	NoHigh	2.352515936	0.802596807	0.585664988	0.685626984	6.717136622	1	Sub	2.801147938	p	1	5.369419813	0.635529995	0.819151878	0.836050034	List1	1	P552	50
53	p	53	1	Filler	NA	NA	MismatchFMLow	1.352422953	0.602693081	0.702300072	0.852599859	5.733280897	1	Sub	2.93542099	p	1	5.569436073	0.952144861	0.668862104	0.602257967	List1	1	P552	50
17	q	17	1	Exp	No	High	NoHigh	2.552278042	0.585670948	0.669177055	1.10235095	7.066729784	3	None	5.501763105	q	1	9.067214966	0.636009932	0.71892786	0.802314997	List1	1	P552	50
54	p	54	1	Filler	NA	NA	MismatchFMLow	2.852488041	0.586090088	0.552570105	0.735479116	8.000249147	2	Obj	8.717958927	p	1	7.169198036	0.73555088	0.618953943	1.919116974	List1	1	P552	50
21	space	21	1	Exp	One	Low	OneLow	3.035641193	1.102374077	0.902547836	0.902301073	9.183668136	2	Obj	2.448861837	space	1	1.552700043	1.352589846	0.736036062	1.152178049	List1	1	P552	50
48	q	48	1	Filler	NA	NA	MismatchMF	4.119035006	0.800384998	0.652287006	1.15231204	9.831227064	3	None	1.669023991	q	1	8.13608098	1.302417994	0.835813999	0.968976021	List1	1	P552	50
3	space	3	1	Exp	One	Low	OneLow	2.452365875	0.818922997	1.201786041	0.802722931	7.999392033	2	Obj	7.118746996	space	1	1.319186926	0.968697071	0.852600098	0.90229702	List1	1	P552	50
42	p	42	1	Filler	NA	NA	MatchFF	2.969197989	0.716976881	0.63560009	1.118871927	7.597634077	2	Obj	1.702318907	q	0	8.36948514	0.835726023	0.668933153	0.652328014	List1	1	P552	50
5	p	5	1	Exp	No	High	NoHigh	5.30272603	0.602552891	0.502279043	0.435596943	8.399659871	1	Sub	7.502578974	p	1	2.552268028	0.418621063	0.452238798	0.685645103	List1	1	P552	50
46	q	46	1	Filler	NA	NA	MismatchMFLow	4.069013119	0.752287865	0.518836975	0.985583067	8.516116858	2	Obj	1.717257023	q	1	5.969136953	0.768878937	0.568917036	0.852599859	List1	1	P552	50
4	p	4	1	Exp	Amb	High	AmbHigh	3.219177008	0.652265072	1.068892002	0.785587072	9.949510336	1	Sub	7.484520197	p	1	5.018779039	0.552460909	0.468911171	3.202217102	List1	1	P552	50
39	space	39	1	Filler	NA	NA	MatchFFLow	2.152719975	0.769237995	0.652333975	0.78587389	6.450587035	2	Obj	1.802682877	space	1	0.935827017	0.668853045	0.585673094	0.835895061	List1	1	P552	50
30	q	30	1	Exp	One	High	OneHigh	4.50239706	0.71940589	0.73368597	1.219154119	10.18188071	1	Sub	2.435135126	q	1	5.952661037	1.48555398	0.652419806	0.869263887	List1	1	P552	50
56	space	56	1	Filler	NA	NA	MismatchFM	1.468841076	0.602297068	0.485929966	0.985855103	6.416434289	2	Obj	1.952359915	space	1	0.719374895	0.952297926	0.685585976	1.235627174	List1	1	P552	50
63	space	63	1	Filler	NA	NA	NeutralMN	1.236696005	0.60225296	0.535604	0.835623026	5.381489276	1	Sub	1.75051403	space	1	0.985149145	0.652207136	0.73359704	0.785509109	List1	1	P552	50
13	space	13	1	Exp	Amb	Low	AmbLow	0.785519123	0.552289009	0.485635996	0.585631847	5.016088008	1	Sub	3.402415037	space	1	0.819273949	0.785714149	0.635621786	1.185676098	List1	1	P552	50
44	space	44	1	Filler	NA	NA	MatchFF	0.768759012	0.785634995	0.569192886	0.835608959	5.732818126	2	Obj	1.718672037	space	1	0.885550022	0.88602519	0.652156115	1.235440969	List1	1	P552	50
6	q	6	1	Exp	One	High	OneHigh	4.169225216	0.652335167	0.735468864	0.60253787	8.066143035	2	Obj	2.219111919	p	0	4.583659887	0.535572767	0.618857145	0.752146006	List1	1	P552	50
31	space	31	1	Filler	NA	NA	MatchMMLow	0.935564995	0.533680916	0.502178907	1.002426863	5.63065076	1	Sub	1.634433031	space	1	0.902242184	0.818924904	0.835306168	1.002568007	List1	1	P552	50
2	space	2	1	Exp	No	Low	NoLow	0.635502815	0.568866968	0.502295017	0.518976927	4.715571642	2	Obj	7.485922098	space	1	0.768928051	0.518913031	0.585342884	1.385674	List1	1	P552	50
62	space	62	1	Filler	NA	NA	NeutralMN	1.169657946	0.485507965	0.485740185	0.452295065	4.867111207	2	Obj	2.002682209	space	1	0.652275085	0.485997915	0.468994141	1.31891799	List1	1	P552	50
27	space	27	1	Exp	One	Low	OneLow	0.735569954	0.435894966	0.50229907	0.68593502	4.45009303	2	Obj	4.8176229	space	1	1.150182009	0.518939972	0.452563047	1.118891001	List1	1	P552	50
57	space	57	1	Filler	NA	NA	MismatchFM	0.552591085	0.552546978	0.868921995	0.85225296	4.71656084	1	Sub	1.917685032	space	1	1.068948984	0.58562994	0.652268887	0.652348995	List1	1	P552	50
20	space	20	1	Exp	No	Low	NoLow	0.65230608	0.635544062	0.719299078	1.202286959	7.382723095	2	Obj	14.41766	space	1	0.818909168	0.918789864	0.752264977	2.502232075	List1	1	P552	50
41	q	41	1	Filler	NA	NA	MatchFF	1.902416945	0.552340031	0.519129038	0.502175093	5.083418848	1	Sub	2.10266304	q	1	2.834444046	0.552572966	0.552578926	0.502205849	List1	1	P552	50
18	p	18	1	Exp	One	High	OneHigh	1.619012117	0.816982031	0.668893099	0.569136143	6.145489455	1	Sub	2.318592072	q	0	2.802734852	0.717031956	0.78553319	0.968900919	List1	1	P552	50
67	space	67	1	Filler	NA	NA	NeutralFNLow	1.752310991	0.635529041	0.568918943	0.736051083	5.533255576	1	Sub	1.535717964	space	1	0.869394064	0.468962908	0.419141769	0.952340841	List1	1	P552	50
15	space	15	1	Exp	One	Low	OneLow	0.552602768	0.80235815	0.552757978	0.718944073	5.200103043	2	Obj	5.883082867	space	1	1.018821955	0.768939018	0.685431957	1.119069099	List1	1	P552	50
50	space	50	1	Filler	NA	NA	MismatchMF	0.702147007	0.685822964	0.819020987	0.635541916	4.999341727	2	Obj	1.568061829	space	1	0.918483019	0.6522789	0.585603952	0.918926001	List1	1	P552	50
19	space	19	1	Exp	Amb	Low	AmbLow	0.852238894	1.369020224	0.918796062	1.652251005	10.00060749	2	Obj	6.904083014	space	1	0.619675875	0.669279099	0.535618067	4.00340414	List1	1	P552	50
59	q	59	1	Filler	NA	NA	NeutralMN	2.719732046	0.518929958	0.652432919	0.902450085	6.583774091	1	Sub	1.936559916	q	1	4.302846193	0.468952179	0.418855906	0.902420998	List1	1	P552	50
26	space	26	1	Exp	No	Low	NoLow	1.08571887	0.585628033	0.568940163	0.652523994	4.666394948	1	Sub	2.318871975	space	1	1.185656786	0.585633039	0.568980932	0.618969917	List1	1	P552	50
68	space	68	1	Filler	NA	NA	NeutralFNLow	0.669281006	0.618890047	0.586277962	0.652140141	6.283943178	2	Obj	2.267652035	space	1	0.635650873	0.636328936	0.668991089	2.452033997	List1	1	P552	50
25	space	25	1	Exp	Amb	Low	AmbLow	0.918944836	0.535832167	0.652325153	0.635668039	5.266740084	2	Obj	3.468075037	space	1	0.552455902	0.585988998	0.735604048	1.202376843	List1	1	P552	50
37	q	60	1	Filler	NA	NA	NeutralMN	3.635756016	0.785806894	0.585848093	1.102249146	7.683201075	1	Obj	1.681082964	q	1	4.169258118	0.518944025	0.485673904	0.568922997	List1	1	P552	50
38	p	29	1	Exp	No	High	NoHigh	2.969434977	0.652506113	0.635612011	0.63568902	7.400938035	1	Obj	4.485698938	q	0	9.652985811	0.652678013	0.80267787	1.052340031	List1	1	P552	50
39	q	36	1	Filler	NA	NA	MatchMM	3.202458858	0.519418001	0.435790062	0.602216005	6.316757202	2	Sub	1.767708063	q	1	2.2023561	0.53592515	0.485383034	0.535566092	List1	1	P552	50
40	space	1	1	Exp	Amb	Low	AmbLow	1.102395058	0.435591936	0.485605001	0.402624846	3.932810546	1	Obj	4.067785025	space	1	0.635636091	0.435563803	0.435401917	0.635627985	List1	1	P552	50
41	space	61	1	Filler	NA	NA	NeutralMN	1.002319098	0.518826962	0.385907173	0.419095039	4.616360188	2	Sub	4.299566984	space	1	0.585544825	0.419238806	0.401966095	1.469007015	List1	1	P552	50
42	q	22	1	Exp	Amb	High	AmbHigh	2.369297981	0.652343035	0.669323921	1.552551985	7.084228992	1	Obj	2.967602968	p	0	4.952400923	0.602699995	0.685666084	0.552345991	List1	1	P552	50
43	q	34	1	Filler	NA	NA	MatchMM	5.452456951	0.535614967	0.552428007	0.919013977	8.783236026	2	Sub	1.469042063	q	1	4.735796928	0.435856104	0.418966055	0.468899965	List1	1	P552	50
44	p	12	1	Exp	One	High	OneHigh	5.752317905	0.435658216	0.452324152	0.435675144	9.41644144	1	Obj	3.383296967	p	1	3.102401018	0.502232075	0.535695076	1.302538872	List1	1	P552	50
45	space	49	1	Filler	NA	NA	MismatchMF	1.00246191	0.452262163	0.485969067	0.535512924	6.500151872	2	Sub	2.517354965	space	1	1.150351048	0.802593946	0.502249956	2.719101906	List1	1	P552	50
46	space	37	1	Filler	NA	NA	MatchMM	1.652373075	0.568878174	0.435342073	0.485523939	4.648844241	1	Obj	1.50026989	space	1	0.685721159	0.435570955	0.418858051	0.652297974	List1	1	P552	50
47	space	38	1	Filler	NA	NA	MatchFFLow	0.552214146	0.485925913	0.435928822	0.618961096	3.6664989	2	Sub	1.700641155	space	1	0.652226925	0.485713005	0.468854904	0.618901014	List1	1	P552	50
48	p	64	1	Filler	NA	NA	NeutralMN	3.05241394	0.535614014	0.602306128	0.602328062	6.532633067	1	Obj	1.500858068	p	1	2.352980137	0.585602045	0.618898869	0.535470009	List1	1	P552	50
49	space	69	1	Filler	NA	NA	NeutralFN	0.602149963	0.433698893	0.418574095	0.402255058	3.213266849	2	Sub	1.55229497	space	1	0.785976887	0.435456991	0.452278852	0.468852997	List1	1	P552	50
50	q	47	1	Filler	NA	NA	MismatchMFLow	1.386046886	0.55226016	0.419228077	0.768921137	5.333879231	2	Sub	1.783087015	q	1	4.719160795	0.602118015	0.636206865	0.969098091	List1	1	P552	50
51	space	51	1	Filler	NA	NA	MismatchMF	1.118988991	0.385941029	0.485618114	0.435544014	4.016524077	2	Sub	1.735215902	space	1	0.618988991	0.452558041	0.468788862	0.669085026	List1	1	P552	50
52	q	70	1	Filler	NA	NA	NeutralFN	2.686146021	0.418925047	0.418983221	0.635405064	5.766419649	1	Obj	2.066956043	p	0	9.336081028	0.435588121	0.435440063	0.735932112	List1	1	P552	50
53	space	9	1	Exp	One	Low	OneLow	0.669069052	0.452223063	0.50218606	0.502255917	3.766093016	2	Sub	4.368655205	space	1	1.552503824	0.518943071	0.502580881	0.618834972	List1	1	P552	50
54	space	32	1	Filler	NA	NA	MatchMMLow	0.735478163	0.535542965	0.435602903	0.502291918	3.949865818	3	None	3.202390909	space	1	0.652242899	0.485988855	0.569391012	0.685570002	List1	1	P552	50
55	space	8	1	Exp	No	Low	NoLow	0.652312994	0.435581923	0.418859959	0.452563047	4.532871961	1	Obj	8.150681973	space	1	0.869357824	0.485714912	0.435527086	1.65231204	List1	1	P552	50
56	p	40	1	Filler	NA	NA	MatchFFLow	1.436068058	0.452131033	0.502305031	0.718924999	5.266589403	1	Obj	4.030851841	q	0	5.085783005	1.185592175	0.435981035	0.535587072	List1	1	P552	50
57	p	24	1	Exp	One	High	OneHigh	0.302125931	0.668821096	0.418797016	0.485831022	3.832944154	2	Sub	1.968536854	p	1	4.952664137	0.519109964	0.568922043	0.869337082	List1	1	P552	50
58	p	16	1	Exp	Amb	High	AmbHigh	4.836215019	0.652234077	0.668889999	0.567079067	9.481548069	1	Obj	3.151072025	q	0	5.735995054	0.552127838	0.618931055	1.586071014	List1	1	P552	50
